split,scope,horizon_half_hours,horizon_hours,method,n,mae,rmse,bias,mae_skill_vs_daily_seasonal
validation,horizon,44,22.0,Persistence,8591,41.96170410895123,55.006973029151695,-0.0948667209870795,-0.013799755895901544
validation,horizon,44,22.0,DailySeasonal,8591,41.390524967989755,54.40120918633944,-0.05959725293912234,0.0
validation,horizon,44,22.0,WeeklySeasonal,8591,60.342335001746015,75.28812695435887,-1.4330112908858108,-0.4578779816978171
validation,horizon,44,22.0,Climatology,8591,61.49089905323904,72.27689498007763,43.87610597162282,-0.4856274256196156
validation,horizon,44,22.0,HistGradientBoosting,8591,46.96877834492114,57.76537888311657,25.87120629330895,-0.13477126422642494
validation,horizon,44,22.0,RandomForest,8591,45.049339794359454,55.08648649575671,22.943770529671852,-0.08839740083507808
validation,horizon,44,22.0,ValidationSelectedBaseline,8591,41.390524967989755,54.40120918633944,-0.05959725293912234,0.0
validation,horizon,45,22.5,Persistence,8592,41.56110335195531,54.55235022682358,-0.09578677839851024,-0.004082768859608565
validation,horizon,45,22.5,DailySeasonal,8592,41.39210893854749,54.40154240987618,-0.0699487895716946,0.0
validation,horizon,45,22.5,WeeklySeasonal,8592,60.346601489757916,75.29266764263888,-1.4466945996275604,-0.4579252673341938
validation,horizon,45,22.5,Climatology,8592,61.47645432885933,72.2619055481157,43.858564738058,-0.48522160154076555
validation,horizon,45,22.5,HistGradientBoosting,8592,45.84474901703796,55.91587300731421,23.866437417587456,-0.10757219655323813
validation,horizon,45,22.5,RandomForest,8592,44.387074626741345,54.2342079327714,21.802905409336898,-0.07235595781409243
validation,horizon,45,22.5,ValidationSelectedBaseline,8592,41.39210893854749,54.40154240987618,-0.0699487895716946,0.0
validation,horizon,46,23.0,Persistence,8593,41.29268008844408,54.24194862870634,-0.09589200512044688,0.0024430906080176173
validation,horizon,46,23.0,DailySeasonal,8593,41.393808914232515,54.40200711140473,-0.08018154311649017,0.0
validation,horizon,46,23.0,WeeklySeasonal,8593,60.352379844059115,75.29863891660254,-1.4607238449901083,-0.4580049873909535
validation,horizon,46,23.0,Climatology,8593,61.463001401385334,72.24856332569863,43.84264909553581,-0.48483560739085285
validation,horizon,46,23.0,HistGradientBoosting,8593,46.51908648752912,56.785435572169774,25.120822311933914,-0.12381749125614716
validation,horizon,46,23.0,RandomForest,8593,44.8051640699829,54.743055489606554,22.13733935593948,-0.08241220716891928
validation,horizon,46,23.0,ValidationSelectedBaseline,8593,41.29268008844408,54.24194862870634,-0.09589200512044688,0.0024430906080176173
validation,horizon,47,23.5,Persistence,8594,41.219455434023736,54.17387688238034,-0.09681172911333488,0.004266945507901521
validation,horizon,47,23.5,DailySeasonal,8594,41.39609029555504,54.402526242182,-0.0900628345357226,0.0
validation,horizon,47,23.5,WeeklySeasonal,8594,60.3581568536188,75.30426838408914,-1.4742843844542703,-0.45806418970198837
validation,horizon,47,23.5,Climatology,8594,61.44984050208606,72.23615573048893,43.828040715704276,-0.484435850423399
validation,horizon,47,23.5,HistGradientBoosting,8594,47.100970564404086,57.52951448405495,26.439043842381505,-0.13781205490948545
validation,horizon,47,23.5,RandomForest,8594,45.06823613476593,54.99179016753388,22.35479895532964,-0.08870755216236437
validation,horizon,47,23.5,ValidationSelectedBaseline,8594,41.219455434023736,54.17387688238034,-0.09681172911333488,0.004266945507901521
validation,horizon,48,24.0,Persistence,8595,41.3977894124491,54.40253946439008,-0.09959278650378127,0.0
validation,horizon,48,24.0,DailySeasonal,8595,41.3977894124491,54.40253946439008,-0.09959278650378127,0.0
validation,horizon,48,24.0,WeeklySeasonal,8595,60.363118091913904,75.30870112667495,-1.4870273414776032,-0.4581241884804983
validation,horizon,48,24.0,Climatology,8595,61.43623818146794,72.22367947122343,43.81379171675997,-0.48404634772582567
validation,horizon,48,24.0,HistGradientBoosting,8595,47.33087414009282,57.79835326574161,25.991363746219765,-0.14331887793649978
validation,horizon,48,24.0,RandomForest,8595,45.535028303109144,55.52177220820624,22.45674804214492,-0.09993864284492204
validation,horizon,48,24.0,ValidationSelectedBaseline,8595,41.3977894124491,54.40253946439008,-0.09959278650378127,0.0
validation,aggregate,0,0.0,Persistence,412033,34.9974565144054,47.05017829232357,-0.13083175376729533,0.1544118177401559
validation,aggregate,0,0.0,DailySeasonal,412033,41.38829899546881,54.41072271753133,-0.011511213907623904,0.0
validation,aggregate,0,0.0,WeeklySeasonal,412033,60.35095004526337,75.27984377706618,-1.4374601063507049,-0.4581645419124518
validation,aggregate,0,0.0,Climatology,412033,61.673959352290666,72.4580877270237,44.04917354520819,-0.4901303230423346
validation,aggregate,0,0.0,HistGradientBoosting,412033,34.09733006405443,44.834648868394225,17.264911232755377,0.17616014932656676
validation,aggregate,0,0.0,RandomForest,412033,34.8636343341618,45.276445507815005,17.18987024022295,0.157645151399465
validation,aggregate,0,0.0,ValidationSelectedBaseline,412033,34.30341744471924,46.34664375591197,-0.10079775163639805,0.17118078593964992
test,horizon,1,0.5,Persistence,8784,5.048497267759563,7.277232004452671,0.00546448087431694,0.8747698494278711
test,horizon,1,0.5,DailySeasonal,8784,40.31375227686703,52.59715401236425,0.16234061930783242,0.0
test,horizon,1,0.5,WeeklySeasonal,8784,53.53187613843352,68.89650146698162,-0.6033697632058288,-0.32788125924838196
test,horizon,1,0.5,Climatology,8784,60.21280905788665,70.04470925069228,42.13568490086388,-0.49360467972211475
test,horizon,1,0.5,HistGradientBoosting,8784,3.565534568708279,4.876198130975354,0.3136802718374629,0.911555378318027
test,horizon,1,0.5,RandomForest,8784,3.8244042545095516,5.315784164100552,0.3050160218237066,0.9051340041918131
