split,issue_time,window_hours,duration_hours,strategy,start_offset_hours,emissions_g_for_1kWh_job
test,2024-07-08 17:30:00+00:00,12,1,WeeklySeasonal,7.0,65.5
test,2024-07-08 17:30:00+00:00,12,1,Climatology,5.0,83.5
test,2024-07-08 17:30:00+00:00,12,1,HistGradientBoosting,6.5,67.0
test,2024-07-08 17:30:00+00:00,12,1,RandomForest,8.0,64.5
test,2024-07-08 17:30:00+00:00,12,3,Immediate,0.0,217.0
test,2024-07-08 17:30:00+00:00,12,3,Oracle,8.0,60.666666666666664
test,2024-07-08 17:30:00+00:00,12,3,Persistence,0.0,217.0
test,2024-07-08 17:30:00+00:00,12,3,DailySeasonal,4.5,78.33333333333333
test,2024-07-08 17:30:00+00:00,12,3,WeeklySeasonal,6.5,64.66666666666667
test,2024-07-08 17:30:00+00:00,12,3,Climatology,5.0,72.66666666666667
test,2024-07-08 17:30:00+00:00,12,3,HistGradientBoosting,6.5,64.66666666666667
test,2024-07-08 17:30:00+00:00,12,3,RandomForest,8.0,60.666666666666664
test,2024-07-08 17:30:00+00:00,12,6,Immediate,0.0,168.16666666666666
test,2024-07-08 17:30:00+00:00,12,6,Oracle,6.0,63.833333333333336
test,2024-07-08 17:30:00+00:00,12,6,Persistence,0.0,168.16666666666666
test,2024-07-08 17:30:00+00:00,12,6,DailySeasonal,3.5,82.08333333333333
test,2024-07-08 17:30:00+00:00,12,6,WeeklySeasonal,4.0,75.25
test,2024-07-08 17:30:00+00:00,12,6,Climatology,4.0,75.25
test,2024-07-08 17:30:00+00:00,12,6,HistGradientBoosting,4.0,75.25
test,2024-07-08 17:30:00+00:00,12,6,RandomForest,5.0,66.66666666666667
test,2024-07-08 17:30:00+00:00,6,3,Immediate,0.0,217.0
test,2024-07-08 17:30:00+00:00,6,3,Oracle,3.0,119.33333333333333
test,2024-07-08 17:30:00+00:00,6,3,Persistence,0.0,217.0
test,2024-07-08 17:30:00+00:00,6,3,DailySeasonal,3.0,119.33333333333333
test,2024-07-08 17:30:00+00:00,6,3,WeeklySeasonal,3.0,119.33333333333333
test,2024-07-08 17:30:00+00:00,6,3,Climatology,3.0,119.33333333333333
test,2024-07-08 17:30:00+00:00,6,3,HistGradientBoosting,3.0,119.33333333333333
test,2024-07-08 17:30:00+00:00,6,3,RandomForest,3.0,119.33333333333333
test,2024-07-08 17:30:00+00:00,24,3,Immediate,0.0,217.0
test,2024-07-08 17:30:00+00:00,24,3,Oracle,8.0,60.666666666666664
test,2024-07-08 17:30:00+00:00,24,3,Persistence,0.0,217.0
test,2024-07-08 17:30:00+00:00,24,3,DailySeasonal,4.5,78.33333333333333
test,2024-07-08 17:30:00+00:00,24,3,WeeklySeasonal,6.5,64.66666666666667
test,2024-07-08 17:30:00+00:00,24,3,Climatology,5.0,72.66666666666667
test,2024-07-08 17:30:00+00:00,24,3,HistGradientBoosting,18.0,85.66666666666667
test,2024-07-08 17:30:00+00:00,24,3,RandomForest,18.0,85.66666666666667
test,2024-07-09 17:30:00+00:00,12,1,Immediate,0.0,142.5
test,2024-07-09 17:30:00+00:00,12,1,Oracle,10.0,58.0
test,2024-07-09 17:30:00+00:00,12,1,Persistence,0.0,142.5
test,2024-07-09 17:30:00+00:00,12,1,DailySeasonal,10.0,58.0
test,2024-07-09 17:30:00+00:00,12,1,WeeklySeasonal,6.0,60.0
test,2024-07-09 17:30:00+00:00,12,1,Climatology,7.5,60.0
